"filename", "language", "C#", "MSBuild", "Markdown", "JSON", "comment", "blank", "total"
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\Controllers\OriginController.cs", "C#", 20, 0, 0, 0, 12, 6, 38
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\Filters\CtmAuthorizationFilterAttribute.cs", "C#", 8, 0, 0, 0, 0, 4, 12
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\Filters\CtmUnitOfWorkFilterAttribute.cs", "C#", 0, 0, 0, 0, 29, 7, 36
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\OriginFrameWork.API.csproj", "MSBuild", 0, 25, 0, 0, 0, 0, 25
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\OriginFrameWorkAPIModule.cs", "C#", 14, 0, 0, 0, 3, 3, 20
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\Program.cs", "C#", 21, 0, 0, 0, 26, 12, 59
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\Properties\launchSettings.json", "JSON", 0, 0, 0, 41, 0, 1, 42
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\WeatherForecast.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 1, 9
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.API\appsettings.json", "JSON", 0, 0, 0, 29, 7, 0, 36
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Ability\OriginFrameWork.Ability.csproj", "MSBuild", 0, 15, 0, 0, 0, 5, 20
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Ability\OriginFrameWorkAbilityModule.cs", "C#", 18, 0, 0, 0, 4, 2, 24
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Ability\OriginSystemProfile.cs", "C#", 8, 0, 0, 0, 9, 5, 22
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\FileToMemeryHelper\FileToMemery.cs", "C#", 12, 0, 0, 0, 0, 3, 15
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\JWTTokenHelper\JWTTokenModel.cs", "C#", 11, 0, 0, 0, 12, 4, 27
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\JWTTokenHelper\OriginAuthExtension.cs", "C#", 68, 0, 0, 0, 31, 6, 105
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\JWTTokenHelper\Utils\MD5Helper.cs", "C#", 13, 0, 0, 0, 5, 3, 21
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\JWTTokenHelper\Utils\TokenHelper.cs", "C#", 27, 0, 0, 0, 12, 3, 42
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.Common\OriginFrameWork.Common.csproj", "MSBuild", 0, 11, 0, 0, 0, 0, 11
"d:\MyCode\OriginFrameWork1.0.3\OriginFrameWork.CoreModule\Extensions\OriginServiceCommonExtensions.cs", "C#", 25, 0, 0, 0, 105, 18, 148
