Date : 2025-01-09 17:28:24
Directory : d:\MyCode\OriginFrameWork1.0.3
Total : 93 files,  2666 codes, 777 comments, 471 blanks, all 3914 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         74 |      1,985 |        770 |        395 |      3,150 |
| Markdown |          2 |        404 |          0 |         50 |        454 |
| MSBuild  |         14 |        199 |          0 |         24 |        223 |
| JSON     |          3 |         78 |          7 |          2 |         87 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         93 |      2,666 |        777 |        471 |      3,914 |
| . (Files)                                                                                                                 |          2 |        404 |          0 |         50 |        454 |
| OriginFrameWork.API                                                                                                       |         10 |        174 |         77 |         39 |        290 |
| OriginFrameWork.API (Files)                                                                                               |          6 |        105 |         36 |         21 |        162 |
| OriginFrameWork.API\Controllers                                                                                           |          1 |         20 |         12 |          6 |         38 |
| OriginFrameWork.API\Filters                                                                                               |          2 |          8 |         29 |         11 |         48 |
| OriginFrameWork.API\Properties                                                                                            |          1 |         41 |          0 |          1 |         42 |
| OriginFrameWork.Ability                                                                                                   |          3 |         41 |         13 |         12 |         66 |
| OriginFrameWork.Common                                                                                                    |          6 |        142 |         60 |         19 |        221 |
| OriginFrameWork.Common (Files)                                                                                            |          1 |         11 |          0 |          0 |         11 |
| OriginFrameWork.Common\FileToMemeryHelper                                                                                 |          1 |         12 |          0 |          3 |         15 |
| OriginFrameWork.Common\JWTTokenHelper                                                                                     |          4 |        119 |         60 |         16 |        195 |
| OriginFrameWork.Common\JWTTokenHelper (Files)                                                                             |          2 |         79 |         43 |         10 |        132 |
| OriginFrameWork.Common\JWTTokenHelper\Utils                                                                               |          2 |         40 |         17 |          6 |         63 |
| OriginFrameWork.CoreModule                                                                                                |         16 |        297 |        187 |         75 |        559 |
| OriginFrameWork.CoreModule (Files)                                                                                        |          7 |        110 |         12 |         18 |        140 |
| OriginFrameWork.CoreModule\Extensions                                                                                     |          2 |         47 |        112 |         24 |        183 |
| OriginFrameWork.CoreModule\OriginConfigCore                                                                               |          2 |         21 |         11 |          7 |         39 |
| OriginFrameWork.CoreModule\OriginInterface                                                                                |          4 |         20 |          3 |          7 |         30 |
| OriginFrameWork.CoreModule\OriginServiceRegisterCore                                                                      |          1 |         99 |         49 |         19 |        167 |
| OriginFrameWork.EntityFrameWork                                                                                           |          4 |         97 |          0 |         50 |        147 |
| OriginFrameWork.EntityFrameWorkCoreModule                                                                                 |          6 |        290 |        140 |         42 |        472 |
| OriginFrameWork.EntityFrameWorkCoreModule (Files)                                                                         |          4 |        122 |         22 |         15 |        159 |
| OriginFrameWork.EntityFrameWorkCoreModule\BaseProvider                                                                    |          2 |        168 |        118 |         27 |        313 |
| OriginFrameWork.HttpResponseContentModule                                                                                 |          2 |         44 |          0 |          7 |         51 |
| OriginFrameWork.IHotPluginModule                                                                                          |          2 |         15 |          0 |          2 |         17 |
| OriginFrameWork.JwtBearerModule                                                                                           |          5 |        141 |         52 |         28 |        221 |
| OriginFrameWork.RedisWorkModule                                                                                           |          8 |        202 |         69 |         29 |        300 |
| OriginFrameWork.RemoteInvokeModule                                                                                        |         14 |        604 |        153 |         78 |        835 |
| OriginFrameWork.RemoteInvokeModule (Files)                                                                                |          3 |         90 |         24 |         16 |        130 |
| OriginFrameWork.RemoteInvokeModule\DynamicProxy                                                                           |          2 |         96 |         23 |         14 |        133 |
| OriginFrameWork.RemoteInvokeModule\RemoteAttributes                                                                       |          2 |         28 |         11 |          2 |         41 |
| OriginFrameWork.RemoteInvokeModule\RemoteServer                                                                           |          3 |        250 |         63 |         35 |        348 |
| OriginFrameWork.RemoteInvokeModule\RemoteServerTodo                                                                       |          2 |        102 |         20 |          8 |        130 |
| OriginFrameWork.RemoteInvokeModule\RemoteServiceDiscovery                                                                 |          2 |         38 |         12 |          3 |         53 |
| OriginFrameWork.ScheduledTaskModule                                                                                       |          6 |         93 |          8 |         15 |        116 |
| OriginFrameWork.Service                                                                                                   |          5 |         60 |          0 |         17 |         77 |
| OriginFrameWork.Service (Files)                                                                                           |          1 |         15 |          0 |          0 |         15 |
| OriginFrameWork.Service\OriginApp                                                                                         |          4 |         45 |          0 |         17 |         62 |
| OriginFrameWork.WorkUnitModule                                                                                            |          4 |         62 |         18 |          8 |         88 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
